
Cidade do Galo;ROD MG 424 km 21 Jardim da Glória Vespasiano CEP: 32.200-000;-19.743358;-43.956835;;ct;;1
Toca da Raposa I;AV. Otacílio Negrão de Lima 7100 Bandeirantes Belo Horizonte CEP: 31.365-450;-19.861291;-43.996725;;ct;;1
Toca da Raposa II;RUA Adolfo Lippi Fonseca Trevo Belo Horizonte;-19.833762;-44.004836;;ct;;1
América - CT Lanna Drumond;RUA Bom Retiro 13 Tijuco Contagem;-19.854742;-44.013526;;ct;;1
Jaraguá Country Clube;RUA Amavel Costa 7 Jaraguá Belo Horizonte CEP: 31270-470;-19.852986;-43.951954;;ct;;1
Minas Tênis Náutico Clube;AV. Princesa Diana 200 Alphaville Nova Lima;-20.160700;-43.957243;;ct;;1
PUC - Coração Eucarístico;AV. Dom José Gaspar 500 Coração Eucarístico Belo Horizonte CEP: 30535-901;-19.924305;-43.991532;;ct;;1
